iter	Passed	Remaining
0	2	270
1	5	268
2	7	228
3	8	197
4	9	180
5	10	169
6	12	161
7	13	156
8	15	152
9	17	155
10	19	155
11	21	160
12	23	154
13	24	150
14	25	146
15	27	142
16	28	138
17	29	135
18	30	132
19	32	131
20	35	133
21	37	131
22	38	128
23	39	125
24	40	122
25	42	119
26	43	117
27	44	115
28	46	114
29	49	116
30	51	114
31	54	115
32	56	114
33	58	112
34	59	111
35	61	109
36	63	108
37	66	108
38	68	107
39	70	105
40	72	104
41	72	100
42	74	99
43	76	97
44	78	96
45	81	95
46	83	94
47	85	93
48	87	91
49	89	89
50	91	87
51	93	86
52	96	85
53	98	84
54	99	81
55	101	79
56	104	78
57	116	84
58	117	81
59	119	79
60	121	77
61	122	75
62	127	74
63	128	72
64	129	69
65	131	67
66	132	65
67	134	63
68	135	61
69	138	59
70	139	57
71	144	56
72	146	54
73	147	51
74	149	49
75	150	47
76	152	45
77	153	43
78	155	41
79	157	39
80	158	37
81	160	35
82	162	33
83	163	31
84	165	29
85	167	27
86	169	25
87	172	23
88	175	21
89	177	19
90	180	17
91	182	15
92	183	13
93	186	11
94	189	9
95	190	7
96	191	5
97	193	3
98	194	1
99	196	0
