iter	Passed	Remaining
0	146	146246
1	147	73515
2	148	49346
3	149	37307
4	151	30128
5	153	25352
6	154	21947
7	156	19390
8	158	17429
9	160	15845
10	161	14533
11	163	13458
12	165	12548
13	166	11748
14	168	11051
15	169	10437
16	171	9899
17	172	9426
18	174	9012
19	176	8627
20	177	8278
21	178	7957
22	180	7667
23	181	7396
24	183	7148
25	184	6918
26	185	6702
27	187	6512
28	189	6339
29	190	6168
30	192	6007
31	193	5856
32	194	5712
33	196	5576
34	197	5449
35	199	5329
36	200	5218
37	201	5112
38	203	5023
39	205	4929
40	207	4851
41	208	4764
42	210	4682
43	211	4603
44	213	4526
45	214	4453
46	216	4383
47	217	4316
48	219	4256
49	220	4193
50	222	4134
51	223	4076
52	225	4021
53	225	3958
54	227	3904
55	228	3850
56	229	3796
57	230	3744
58	231	3696
59	233	3654
60	234	3612
61	235	3569
62	237	3526
63	238	3484
64	239	3442
65	240	3402
66	241	3367
67	243	3330
68	244	3295
69	245	3260
70	246	3226
71	247	3196
72	249	3170
73	251	3144
74	253	3120
75	254	3095
76	256	3072
77	257	3048
78	259	3024
79	261	3002
80	263	2984
81	265	2968
82	265	2938
83	267	2917
84	269	2897
85	270	2877
86	272	2858
87	273	2839
88	275	2821
89	277	2804
90	279	2788
91	280	2772
92	282	2754
93	284	2738
94	285	2722
95	287	2706
96	289	2690
97	290	2674
98	292	2661
99	294	2648
100	295	2633
101	297	2618
102	299	2604
103	300	2589
104	302	2575
105	303	2561
106	305	2549
107	307	2536
108	309	2526
109	310	2515
110	312	2502
111	314	2490
112	315	2477
113	317	2466
114	318	2454
115	320	2443
116	321	2429
117	323	2420
118	325	2411
119	327	2399
120	328	2389
121	330	2376
122	331	2366
123	333	2359
124	335	2350
125	337	2340
126	338	2330
127	340	2320
128	342	2311
129	344	2302
130	345	2292
131	347	2283
132	348	2274
133	350	2265
134	352	2255
135	353	2246
136	355	2239
137	357	2230
138	358	2221
139	360	2213
140	362	2206
141	363	2194
142	364	2185
143	366	2177
144	367	2168
145	369	2162
146	371	2155
147	373	2147
148	374	2141
149	376	2135
150	378	2128
151	380	2121
152	382	2115
153	383	2108
154	385	2103
155	388	2099
156	389	2093
157	391	2088
158	393	2083
159	395	2077
160	396	2068
161	398	2063
162	400	2058
163	402	2053
164	405	2050
165	407	2045
